timestamp,question,yes_probability,volume_usd
2026-06-09T18:14:17.118004,Will no Fed rate cuts happen in 2026?,0.7985,4911105.414671042
2026-06-09T18:14:17.118033,Will 1 Fed rate cut happen in 2026?,0.125,1451168.1745619923
2026-06-09T18:14:17.118051,Will 2 Fed rate cuts happen in 2026?,0.0325,1409510.4422999904
2026-06-09T18:14:17.118070,Will 3 Fed rate cuts happen in 2026?,0.0225,1271919.4324049852
2026-06-09T18:14:17.118087,Will 4 Fed rate cuts happen in 2026?,0.0135,1420494.2599869904
2026-06-09T18:14:17.118101,Will 5 Fed rate cuts happen in 2026?,0.0045,1639648.0809139912
2026-06-09T18:14:17.118114,Will 6 Fed rate cuts happen in 2026?,0.0045,2879355.2832509447
2026-06-09T18:14:17.118132,Will 7 Fed rate cuts happen in 2026?,0.0035,2324579.859185949
2026-06-09T18:14:17.118146,Will 8 Fed rate cuts happen in 2026?,0.0035,2237704.2874580105
2026-06-09T18:14:17.118160,Will 9 Fed rate cuts happen in 2026?,0.0025,3254643.2105679503
2026-06-09T18:14:17.118220,Will 10 Fed rate cuts happen in 2026?,0.0025,3918603.762853011
2026-06-09T18:14:17.118248,Will 11 Fed rate cuts happen in 2026?,0.0025,3924750.29440803
2026-06-09T18:14:17.118270,Will 12 or more Fed rate cuts happen in 2026?,0.0025,2766025.986938957
